episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1601, -2583.1292979717255, 2, 3.247330618003616, 58, 645554,                                             645554, 0.0, 5310.99951171875
1602, -3610.2077835798264, 3, 10.745601028000237, 200, 645754,                                             645754, 0.0, 5344.892578125
1603, -4092.551036596298, 3, 21.54478129799827, 408, 646162,                                             646162, 0.0, 6142.314453125
1604, 1378.2309690713882, 1, 15.739899002997845, 299, 646461,                                             646461, 0.0, 5096.8701171875
1605, -2709.8067710399628, 2, 3.307255660998635, 58, 646519,                                             646519, 0.0, 5748.9345703125
1606, 421.1103454977274, 1, 21.1511079089978, 397, 646916,                                             646916, 0.0, 4996.5673828125
1607, 48.6678050160408, 1, 27.574883032997604, 524, 647440,                                             647440, 0.0, 4853.283203125
1608, -3885.5932735800743, 2, 22.14778736000153, 407, 647847,                                             647847, 0.0, 4257.58203125
1609, 1901.7830274701118, 1, 8.319927352000377, 150, 647997,                                             647997, 0.0, 4695.068359375
1610, 571.2426761686802, 1, 23.355355086998316, 436, 648433,                                             648433, 0.0, 5463.25341796875
1611, 1032.0585939884186, 1, 19.2942225279985, 363, 648796,                                             648796, 0.0, 4887.84765625
1612, -3838.6668615341187, 2, 20.544594863000384, 387, 649183,                                             649183, 0.0, 5190.060546875
1613, -5823.247610449791, 2, 25.561657614998694, 482, 649665,                                             649665, 0.0, 5352.07421875
1614, 489.4167103767395, 1, 25.569342267001048, 474, 650139,                                             650139, 0.0, 5236.35986328125
1615, 22.08038830757141, 1, 17.35485860799963, 324, 650463,                                             650463, 0.0, 5866.2548828125
1616, 1716.8708150982857, 1, 12.330006759002572, 223, 650686,                                             650686, 0.0, 4289.41162109375
1617, -2472.8141474723816, 2, 3.5236510489994544, 63, 650749,                                             650749, 0.0, 5965.8017578125
1618, 1505.6538498699665, 1, 18.333578965000925, 332, 651081,                                             651081, 0.0, 5260.83935546875
1619, -2803.839299738407, 2, 6.931767198999296, 127, 651208,                                             651208, 0.0, 3749.41748046875
1620, 1757.1932985782623, 1, 12.930876015001559, 235, 651443,                                             651443, 0.0, 4451.0654296875
1621, 1328.0262287557125, 1, 18.60475531600241, 338, 651781,                                             651781, 0.0, 4942.18505859375
1622, -3257.6063096523285, 3, 11.125197967005079, 205, 651986,                                             651986, 0.0, 5557.26220703125
1623, 1490.8210526704788, 1, 16.754292920995795, 313, 652299,                                             652299, 0.0, 4348.46533203125
1624, -2596.5074605941772, 2, 3.7079078539973125, 64, 652363,                                             652363, 0.0, 4958.3359375
1625, 1793.5157441347837, 1, 12.944988883995393, 244, 652607,                                             652607, 0.0, 4876.0048828125
1626, 866.4358304738998, 1, 19.541875787996105, 365, 652972,                                             652972, 0.0, 4907.74853515625
1627, -3446.563699364662, 2, 9.723461117995612, 178, 653150,                                             653150, 0.0, 6095.357421875
1628, 1975.084113419056, 1, 7.729488762000983, 150, 653300,                                             653300, 0.0, 5040.89990234375
1629, -4052.19985216856, 2, 19.946120060994872, 379, 653679,                                             653679, 0.0, 6087.3916015625
1630, 1648.0760985314846, 1, 13.74205786800303, 259, 653938,                                             653938, 0.0, 5607.72119140625
1631, 1030.4945272803307, 1, 22.976845418997982, 428, 654366,                                             654366, 0.0, 5897.10888671875
1632, 1760.053954064846, 1, 12.54398751300323, 242, 654608,                                             654608, 0.0, 4993.9990234375
1633, 1628.9131052196026, 1, 14.145763282998814, 260, 654868,                                             654868, 0.0, 5693.21142578125
1634, -734.3379287719727, 5, 1.71571188300004, 30, 654898,                                             654898, 0.0, 4554.25
1635, 1420.3951269686222, 1, 17.752427585000987, 328, 655226,                                             655226, 0.0, 4985.19775390625
1636, -449.12224538624287, 1, 39.79371613400144, 745, 655971,                                             655971, 0.0, 5781.87158203125
1637, 1364.1406649053097, 1, 21.167525912998826, 396, 656367,                                             656367, 0.0, 6005.15380859375
1638, 482.17170080542564, 1, 29.76680482899974, 559, 656926,                                             656926, 0.0, 6005.2666015625
1639, 1588.4215757250786, 1, 13.328810799001076, 254, 657180,                                             657180, 0.0, 5174.4072265625
1640, 1346.6099663972855, 1, 21.766353035003704, 413, 657593,                                             657593, 0.0, 5818.9951171875
1641, -4920.33082652092, 3, 22.979761258997314, 448, 658041,                                             658041, 0.0, 5925.35400390625
1642, 1616.2175666987896, 1, 13.142606284003705, 262, 658303,                                             658303, 0.0, 6295.89404296875
1643, 1551.3453293144703, 1, 14.332479183998657, 280, 658583,                                             658583, 0.0, 6407.99755859375
1644, 1679.3659163713455, 1, 13.344182139997429, 258, 658841,                                             658841, 0.0, 5917.8759765625
1645, 1434.8788359761238, 1, 17.538928392001253, 346, 659187,                                             659187, 0.0, 5578.18359375
1646, -3167.853638648987, 3, 4.512365346003207, 85, 659272,                                             659272, 0.0, 5596.6005859375
1647, 2033.001748085022, 1, 9.535649941994052, 190, 659462,                                             659462, 0.0, 5645.3232421875
1648, 701.1837113797665, 1, 25.3521540330039, 477, 659939,                                             659939, 0.0, 6531.3740234375
1649, -1251.5657858848572, 1, 21.14894969400484, 441, 660380,                                             660380, 0.0, 5527.51904296875
1650, 1416.0676833093166, 1, 21.95607479899627, 416, 660796,                                             660796, 0.0, 5410.59423828125
1651, 278.4131091237068, 1, 31.190023470997403, 557, 661353,                                             661353, 0.0, 5824.6025390625
1652, 2021.2226500213146, 1, 13.345045474998187, 241, 661594,                                             661594, 0.0, 5729.60498046875
1653, 1763.8713579177856, 1, 15.936116792996472, 279, 661873,                                             661873, 0.0, 5505.48974609375
1654, 1280.9363936632872, 1, 22.15511430100014, 393, 662266,                                             662266, 0.0, 5364.14990234375
1655, -2621.915270268917, 3, 6.116418570993119, 103, 662369,                                             662369, 0.0, 5270.0849609375
1656, -210.9594570696354, 1, 32.79018583799916, 590, 662959,                                             662959, 0.0, 5661.00146484375
1657, 37.8798693716526, 1, 30.9669270900049, 550, 663509,                                             663509, 0.0, 4986.8017578125
1658, -3728.177740395069, 3, 19.192763008002657, 345, 663854,                                             663854, 0.0, 5161.22314453125
1659, 913.8157897591591, 1, 20.521256426000036, 369, 664223,                                             664223, 0.0, 5706.21826171875
1660, 948.5280705690384, 1, 15.150801757998124, 272, 664495,                                             664495, 0.0, 5797.84716796875
1661, -4402.57950168848, 3, 29.56600529899879, 535, 665030,                                             665030, 0.0, 5328.0283203125
1662, 2155.3714225292206, 1, 9.13499989399861, 169, 665199,                                             665199, 0.0, 5251.880859375
1663, 1408.9178531169891, 1, 18.955327283998486, 338, 665537,                                             665537, 0.0, 5890.5302734375
1664, 1083.0680708289146, 1, 27.17426902599982, 492, 666029,                                             666029, 0.0, 4932.13037109375
1665, -2983.213418364525, 2, 8.920999433998077, 162, 666191,                                             666191, 0.0, 6033.3642578125
1666, 1875.7555730640888, 1, 12.744697189002181, 235, 666426,                                             666426, 0.0, 6031.29248046875
1667, -3635.2152445316315, 2, 20.146958010998787, 365, 666791,                                             666791, 0.0, 5212.85498046875
1668, 1639.3013907074928, 1, 14.7407516509993, 259, 667050,                                             667050, 0.0, 4833.2158203125
1669, -2803.3140649199486, 3, 7.113650143000996, 127, 667177,                                             667177, 0.0, 5107.9345703125
1670, 1643.503198325634, 1, 14.748979645002692, 265, 667442,                                             667442, 0.0, 5019.26708984375
1671, 1714.65406678617, 1, 15.728445836000901, 281, 667723,                                             667723, 0.0, 6003.68115234375
1672, -2976.896570086479, 1, 46.418293130001985, 828, 668551,                                             668551, 0.0, 22231.796875
1673, -2656.0867619514465, 2, 3.7078819059970556, 56, 668607,                                             668607, 0.0, 5057.3115234375
1674, -100.90097746253014, 1, 32.78263776499807, 519, 669126,                                             669126, 0.0, 5196.310546875
1675, -755.1406759768724, 1, 42.58671318200504, 667, 669793,                                             669793, 0.0, 22622.818359375
1676, 1400.361758172512, 1, 21.009926897000696, 315, 670108,                                             670108, 0.0, 5971.5068359375
1677, 1399.3291887044907, 1, 14.51186901699839, 214, 670322,                                             670322, 0.0, 5660.52001953125
1678, 1819.1429519057274, 1, 14.131301827997959, 216, 670538,                                             670538, 0.0, 4994.56689453125
1679, 1575.7081982791424, 1, 19.962300119004794, 303, 670841,                                             670841, 0.0, 5871.47021484375
1680, 1125.1198634803295, 1, 27.960711898995214, 418, 671259,                                             671259, 0.0, 6175.10595703125
1681, -3510.7411850094795, 3, 31.163613151999016, 456, 671715,                                             671715, 0.0, 6096.23095703125
1682, 2047.4805506169796, 1, 11.939087066995853, 179, 671894,                                             671894, 0.0, 5161.8095703125
1683, 1128.263650149107, 1, 28.764177971999743, 420, 672314,                                             672314, 0.0, 6547.0322265625
1684, 1085.42015889287, 1, 19.949047524998605, 303, 672617,                                             672617, 0.0, 6492.66796875
1685, -2589.927336215973, 2, 3.32415549599682, 51, 672668,                                             672668, 0.0, 5651.7060546875
1686, 1748.4899413585663, 1, 18.158313246000034, 270, 672938,                                             672938, 0.0, 6453.5302734375
1687, -5432.6207866072655, 3, 29.97769732299639, 465, 673403,                                             673403, 0.0, 6245.69384765625
1688, 1943.3393702805042, 1, 12.340762448002351, 186, 673589,                                             673589, 0.0, 5884.14697265625
1689, 422.05514293909073, 1, 37.18342377099907, 528, 674117,                                             674117, 0.0, 35107.9140625
1690, 2064.3936672210693, 1, 10.539465927999117, 145, 674262,                                             674262, 0.0, 7819.560546875
1691, 1093.957065820694, 1, 24.73986270399473, 348, 674610,                                             674610, 0.0, 6448.69921875
1692, 1752.019248276949, 1, 20.162212787996395, 258, 674868,                                             674868, 0.0, 5585.853515625
1693, 1751.2380569577217, 1, 15.72751698600041, 207, 675075,                                             675075, 0.0, 6040.66845703125
1694, 1268.3531454503536, 1, 12.54591772499407, 164, 675239,                                             675239, 0.0, 4978.99560546875
1695, 696.126392647624, 1, 37.381095264994656, 502, 675741,                                             675741, 0.0, 6784.9521484375
1696, 977.5804194658995, 1, 34.024991760001285, 470, 676211,                                             676211, 0.0, 5919.1240234375
1697, -2336.0057985782623, 3, 5.903154744999483, 77, 676288,                                             676288, 0.0, 9552.0234375
1698, 2302.8584754765034, 1, 5.512950112999533, 70, 676358,                                             676358, 0.0, 5102.93701171875
1699, 1061.9721934199333, 1, 27.585039287005202, 375, 676733,                                             676733, 0.0, 6461.0078125
1700, -4445.579600930214, 4, 51.02003062299627, 694, 677427,                                             677427, 0.0, 6188.24267578125
1701, 2009.9711047112942, 1, 11.920177118001448, 163, 677590,                                             677590, 0.0, 6127.05078125
1702, 483.57988652586937, 1, 28.967071088998637, 391, 677981,                                             677981, 0.0, 5744.216796875
