episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4193.519164800644, 2, 16.747508672000095, 261, 25043,                                             25043, 0.0, 6652.0869140625
2, -3181.789484977722, 2, 12.411755986000117, 185, 25228,                                             25228, 0.0, 5805.40283203125
3, -3366.2207446098328, 2, 16.55107443299994, 245, 25473,                                             25473, 0.0, 5686.0166015625
4, 2009.2858174443245, 1, 9.93820376900021, 153, 25626,                                             25626, 0.0, 5281.3583984375
5, -3135.347679376602, 2, 13.13166234800019, 196, 25822,                                             25822, 0.0, 5174.38916015625
6, -2934.9619722366333, 2, 9.323126352000145, 136, 25958,                                             25958, 0.0, 6203.28515625
7, -3610.7213735580444, 2, 13.748998043000029, 214, 26172,                                             26172, 0.0, 5736.77099609375
8, -3459.6021473407745, 3, 21.567726778999713, 337, 26509,                                             26509, 0.0, 6095.21484375
9, -2582.5604951381683, 2, 7.919074273000206, 120, 26629,                                             26629, 0.0, 4274.54443359375
10, -2750.619488477707, 2, 9.135126642999694, 142, 26771,                                             26771, 0.0, 4230.48876953125
11, -3933.3381197452545, 3, 26.19781745399996, 406, 27177,                                             27177, 0.0, 4813.8916015625
12, -3730.5977029800415, 2, 16.75558500499983, 259, 27436,                                             27436, 0.0, 4554.1650390625
13, -2772.228905916214, 2, 8.584053897999638, 134, 27570,                                             27570, 0.0, 5117.46484375
14, -3529.6322071552277, 2, 15.89032553099969, 243, 27813,                                             27813, 0.0, 5010.89697265625
15, -3117.176004886627, 3, 13.350677973000074, 204, 28017,                                             28017, 0.0, 4928.48779296875
16, -2587.873121023178, 2, 8.923248697999952, 130, 28147,                                             28147, 0.0, 4544.1630859375
17, -4166.994074463844, 2, 30.791634694000095, 470, 28617,                                             28617, 0.0, 4749.03076171875
18, -3370.1196553707123, 2, 16.738347489999796, 251, 28868,                                             28868, 0.0, 4397.02685546875
19, -3386.133332967758, 2, 14.55359055200006, 223, 29091,                                             29091, 0.0, 4505.693359375
20, -4141.603367567062, 2, 24.154507856000237, 367, 29458,                                             29458, 0.0, 4570.55615234375
21, -2923.456760406494, 2, 13.222481554999831, 202, 29660,                                             29660, 0.0, 5309.60791015625
22, -4098.328877747059, 3, 26.826378818000194, 441, 30101,                                             30101, 0.0, 4457.82958984375
23, -3166.207471847534, 2, 11.891312970999934, 180, 30281,                                             30281, 0.0, 5307.55029296875
24, -3754.935889005661, 2, 18.96373766800025, 293, 30574,                                             30574, 0.0, 5455.56787109375
25, -3051.5793673992157, 2, 8.520635511999899, 130, 30704,                                             30704, 0.0, 4957.6083984375
26, -2931.258423805237, 2, 10.541545860000042, 162, 30866,                                             30866, 0.0, 4335.10107421875
27, -3840.039405465126, 2, 21.56493834799994, 337, 31203,                                             31203, 0.0, 4908.31884765625
