episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3313.8634017705917, 3, 10.541237013999762, 166, 25003,                                             25003, 0.0, 5397.96630859375
2, -2912.6882297992706, 3, 10.554411571999935, 165, 25168,                                             25168, 0.0, 4918.02978515625
3, -5690.940006017685, 2, 47.23079237100001, 758, 25926,                                             25926, 0.0, 4564.95166015625
4, -2797.600329875946, 2, 8.521769333000066, 133, 26059,                                             26059, 0.0, 4648.63134765625
5, -4107.480142533779, 2, 19.764944295000078, 317, 26376,                                             26376, 0.0, 4966.04736328125
6, -4154.32477247715, 2, 24.374614129999827, 394, 26770,                                             26770, 0.0, 4273.79345703125
7, -3584.295125246048, 3, 17.57753925299994, 287, 27057,                                             27057, 0.0, 4286.6103515625
8, -3587.3008612394333, 2, 18.33741916300005, 293, 27350,                                             27350, 0.0, 4555.59033203125
9, -4713.14945012331, 2, 31.999227410000003, 502, 27852,                                             27852, 0.0, 4327.95361328125
10, -5771.723077058792, 2, 34.98616953100009, 557, 28409,                                             28409, 0.0, 5929.9970703125
11, -3768.5505932569504, 3, 14.141915946000154, 227, 28636,                                             28636, 0.0, 3966.62939453125
12, -3025.2044768333435, 2, 10.136369922000085, 171, 28807,                                             28807, 0.0, 15140.294921875
13, -2530.683814048767, 3, 10.141324455999893, 164, 28971,                                             28971, 0.0, 4111.0791015625
14, -2713.0255851745605, 2, 7.116828053000063, 112, 29083,                                             29083, 0.0, 4442.85693359375
15, -2766.115957260132, 2, 7.733690254999601, 131, 29214,                                             29214, 0.0, 4074.015625
16, -2819.156189441681, 2, 8.936824177999824, 145, 29359,                                             29359, 0.0, 5527.703125
17, -3785.2376453876495, 3, 22.356268541999725, 362, 29721,                                             29721, 0.0, 5376.60498046875
18, -3192.703173726797, 2, 16.94254022899986, 283, 30004,                                             30004, 0.0, 4804.490234375
19, -2659.6682862639427, 2, 7.136829691999992, 119, 30123,                                             30123, 0.0, 5333.20361328125
20, -3286.8581371307373, 2, 16.150361522000367, 273, 30396,                                             30396, 0.0, 6045.16748046875
21, -3430.958786845207, 3, 17.554561928999647, 294, 30690,                                             30690, 0.0, 6400.72021484375
22, -2798.647817850113, 3, 9.92482575899976, 166, 30856,                                             30856, 0.0, 4537.50244140625
23, -3287.7875150442123, 2, 11.949086999999963, 204, 31060,                                             31060, 0.0, 4914.75439453125
24, -3236.5038595199585, 2, 14.150339129000258, 247, 31307,                                             31307, 0.0, 5463.216796875
25, -3265.758255124092, 2, 13.535694645000149, 231, 31538,                                             31538, 0.0, 5017.97412109375
26, -4560.349356889725, 2, 24.17406325999991, 421, 31959,                                             31959, 0.0, 4987.33154296875
27, -3573.0378898978233, 3, 19.342517239000244, 333, 32292,                                             32292, 0.0, 4724.20703125
28, -3023.0159533023834, 2, 11.74430279399985, 204, 32496,                                             32496, 0.0, 5339.31103515625
29, -3801.860691547394, 2, 14.149994165999942, 236, 32732,                                             32732, 0.0, 4915.4453125
30, -4399.586354732513, 2, 26.18820999599984, 455, 33187,                                             33187, 0.0, 4963.19580078125
31, -3386.143609046936, 2, 15.153247414000361, 262, 33449,                                             33449, 0.0, 4866.9375
32, -3093.9646649956703, 2, 17.53886353400003, 298, 33747,                                             33747, 0.0, 4446.00146484375
33, -2638.6447064876556, 2, 5.930782399000236, 99, 33846,                                             33846, 0.0, 3728.0009765625
34, -3627.242542386055, 3, 20.342510843999662, 356, 34202,                                             34202, 0.0, 4833.44677734375
35, -3992.124738097191, 2, 16.149058567999873, 286, 34488,                                             34488, 0.0, 5790.78466796875
36, -3726.507486343384, 3, 21.764999765000084, 381, 34869,                                             34869, 0.0, 4916.20849609375
37, -3983.3311579227448, 2, 18.155867652000325, 316, 35185,                                             35185, 0.0, 4789.90185546875
38, -2794.636217355728, 2, 6.732740945999922, 112, 35297,                                             35297, 0.0, 4030.988525390625
39, -4076.5648871660233, 2, 24.158384540000043, 415, 35712,                                             35712, 0.0, 4478.4091796875
40, -2348.9985789060593, 2, 5.516571666000345, 90, 35802,                                             35802, 0.0, 4250.640625
41, -2827.1570541858673, 2, 7.754552929000056, 120, 35922,                                             35922, 0.0, 3962.629638671875
42, -4195.377454280853, 2, 26.183567743000367, 441, 36363,                                             36363, 0.0, 4585.30517578125
43, -4659.896015286446, 2, 21.972856560999844, 368, 36731,                                             36731, 0.0, 4118.5126953125
44, -3042.3674179315567, 2, 9.93659793400002, 160, 36891,                                             36891, 0.0, 4845.5478515625
45, -2697.545704782009, 2, 9.926874497999961, 154, 37045,                                             37045, 0.0, 4947.8720703125
46, -3250.781048297882, 2, 11.746236148000207, 199, 37244,                                             37244, 0.0, 4287.6806640625
47, -3394.879205405712, 2, 20.16686739099987, 341, 37585,                                             37585, 0.0, 4218.48876953125
48, -4328.0534291267395, 2, 19.342190842000036, 317, 37902,                                             37902, 0.0, 4622.0986328125
49, -3542.2952497005463, 2, 10.563278723000167, 170, 38072,                                             38072, 0.0, 3458.69921875
50, -2867.8714184761047, 2, 8.501794055000119, 143, 38215,                                             38215, 0.0, 3801.947998046875
51, -4077.0122158527374, 3, 14.387086903000181, 242, 38457,                                             38457, 0.0, 4619.3046875
52, -3738.5781648159027, 2, 22.552220614999896, 381, 38838,                                             38838, 0.0, 4244.91650390625
53, -3040.532518684864, 2, 11.749243318000026, 199, 39037,                                             39037, 0.0, 4423.6669921875
54, -3457.764965057373, 2, 15.550787054000011, 256, 39293,                                             39293, 0.0, 4550.20947265625
55, -3343.8002902269363, 2, 14.351424359000248, 246, 39539,                                             39539, 0.0, 5009.85693359375
56, -4411.82503259182, 4, 49.82220025700008, 843, 40382,                                             40382, 0.0, 4310.80810546875
57, -4134.045327782631, 2, 27.185044315999676, 482, 40864,                                             40864, 0.0, 3947.709228515625
58, -3571.6134288311005, 2, 14.155947235999975, 241, 41105,                                             41105, 0.0, 4056.289306640625
59, -3401.472453415394, 4, 49.840622895999786, 864, 41969,                                             41969, 0.0, 4047.45361328125
60, -3906.2545335292816, 2, 22.97440200200026, 400, 42369,                                             42369, 0.0, 4261.376953125
61, 2226.220340371132, 1, 5.52888233900012, 96, 42465,                                             42465, 0.0, 4312.00146484375
62, -4952.164920568466, 2, 23.53284887899963, 426, 42891,                                             42891, 0.0, 4173.458984375
63, -3924.4647232294083, 2, 17.363719627000137, 270, 43161,                                             43161, 0.0, 4280.9609375
64, -3096.0526488423347, 2, 17.94543733899991, 259, 43420,                                             43420, 0.0, 4185.7080078125
