episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
145, -5474.432843327522, 3, 42.238840861000426, 675, 68847,                                             68847, 0.0, 3792.156005859375
146, -4645.565718114376, 4, 49.81500033700013, 805, 69652,                                             69652, 0.0, 4304.8388671875
147, -4242.8962389826775, 4, 50.45723890000045, 826, 70478,                                             70478, 0.0, 4191.6005859375
148, -3906.4530436992645, 2, 16.31832277600006, 261, 70739,                                             70739, 0.0, 3839.187744140625
149, -3600.722133755684, 3, 18.363371317999736, 280, 71019,                                             71019, 0.0, 3969.990966796875
150, -3343.1983989477158, 3, 24.361466359000588, 270, 71289,                                             71289, 0.0, 4542.65673828125
151, -3545.5632762908936, 3, 27.8741157759996, 291, 71580,                                             71580, 0.0, 4608.46875
152, -2386.2480190992355, 4, 49.95306681599959, 502, 72082,                                             72082, 0.0, 3859.5087890625
153, -3291.966965675354, 3, 20.554048975000114, 273, 72355,                                             72355, 0.0, 4079.18408203125
154, -3414.695942044258, 2, 23.174791942999946, 253, 72608,                                             72608, 0.0, 3970.86328125
155, 1286.6829120516777, 1, 25.015767560999848, 364, 72972,                                             72972, 0.0, 4118.98193359375
156, -2780.1039165258408, 2, 9.289532980999866, 125, 73097,                                             73097, 0.0, 4182.7587890625
157, -3500.75013256073, 3, 28.232000076000077, 314, 73411,                                             73411, 0.0, 4167.611328125
158, -3203.23246884346, 3, 23.51540897799987, 248, 73659,                                             73659, 0.0, 4850.6962890625
159, -4576.601322948933, 2, 38.86152333899918, 397, 74056,                                             74056, 0.0, 4678.69677734375
160, -2350.617466390133, 4, 49.783038970000234, 546, 74602,                                             74602, 0.0, 5005.75048828125
161, -3928.1669911146164, 2, 25.78577726399999, 294, 74896,                                             74896, 0.0, 4924.19189453125
162, -3135.532015800476, 3, 23.55891659200006, 253, 75149,                                             75149, 0.0, 4780.78564453125
163, -4330.97456073761, 2, 21.159974350000084, 235, 75384,                                             75384, 0.0, 5031.42822265625
164, -2949.1645340919495, 4, 50.83757069300009, 585, 75969,                                             75969, 0.0, 5057.65869140625
165, -3388.7399331331253, 3, 22.75654841800042, 253, 76222,                                             76222, 0.0, 7553.9755859375
166, -4214.139239788055, 2, 21.768916426000033, 363, 76585,                                             76585, 0.0, 4403.1611328125
167, -4415.602505505085, 2, 47.0221476279994, 597, 77182,                                             77182, 0.0, 4464.06005859375
168, -2677.205684185028, 2, 7.317840705999515, 103, 77285,                                             77285, 0.0, 4165.68212890625
169, -3646.1047293543816, 2, 22.578041853000286, 342, 77627,                                             77627, 0.0, 36414.8203125
170, -3407.1294127702713, 3, 21.537211465999462, 285, 77912,                                             77912, 0.0, 4303.4365234375
171, -3181.941324055195, 2, 12.143934744000035, 183, 78095,                                             78095, 0.0, 4116.498046875
172, -3426.926926136017, 2, 17.339032642999882, 221, 78316,                                             78316, 0.0, 4436.83349609375
173, -2850.9426589608192, 4, 49.838495881999734, 577, 78893,                                             78893, 0.0, 4508.1123046875
174, -5070.957031965256, 2, 34.38587295999969, 508, 79401,                                             79401, 0.0, 5019.3134765625
175, 1871.6410788297653, 1, 18.19573751200005, 222, 79623,                                             79623, 0.0, 4647.7978515625
176, -3205.6487263441086, 2, 11.093012225001075, 169, 79792,                                             79792, 0.0, 4536.8681640625
177, -3476.2103803157806, 3, 13.552373437001734, 184, 79976,                                             79976, 0.0, 4571.00830078125
178, -3224.3445898890495, 3, 15.54945798100016, 207, 80183,                                             80183, 0.0, 4348.42822265625
